"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"139","52.77621723","0.04500625","0.01894793","0.0","4","104","false","46","2.75","4","0","0","0.58907764","false","0","46","143762906","0.25"
"141","42.51722846","4.8208E-4","0.02351988","0.0","3","78","false","47","3.33333333","3","0","0","0.67049819","false","0","47","223822","0.38888889"
"142","42.26198502","0.00303463","0.02366193","0.0","3","78","false","48","3.0","3","0","0","0.67252393","false","0","48","561646","0.4"
"144","1.25","0.83333333","0.8","0.0","3","2","false","49","1.33333333","3","0","0","0.91666667","false","0","49","10","0.33333333"
"145","2.0","0.0","0.5","0.0","1","3","false","50","3.0","1","0","0","0.66666667","false","0","50","0","0.0"
"147","40.8","5.0844E-4","0.0245098","0.0","3","91","false","51","2.66666667","3","0","0","0.68412698","false","0","51","2032336","0.41666667"
"148","39.83089888","0.001192","0.02510614","0.0","3","90","false","52","3.33333333","3","0","0","0.69181826","false","0","52","3090418","0.38888889"
"150","30.75430712","0.06929855","0.03251577","0.33333333","3","74","false","53","3.33333333","3","0","0","0.76385471","false","0","53","202739866","0.5"
"151","30.59981273","0.15210998","0.03267994","0.0","3","75","false","54","3.0","3","0","0","0.76508085","false","0","54","244068132","0.4"
"153","38.67546816","0.00295639","0.02585618","0.0","3","89","false","55","3.33333333","3","0","0","0.70098835","false","0","55","2580398","0.33333333"
"154","38.46029963","0.00250832","0.02600084","0.0","3","88","false","56","3.0","3","0","0","0.70269603","false","0","56","2467478","0.33333333"
"156","42.73689139","0.0014975","0.02339899","0.0","3","84","false","57","2.33333333","3","0","0","0.66875483","false","0","57","646910","0.33333333"
"157","43.73595506","7.4899E-4","0.02286448","0.0","3","85","false","58","1.66666667","3","0","0","0.66082575","false","0","58","323462","0.33333333"
"159","36.53483146","0.01937525","0.02737114","0.0","4","69","false","59","3.25","4","0","0","0.71797753","false","0","59","13091262","0.25"
"160","36.34831461","0.01842124","0.02751159","0.0","3","70","false","60","3.33333333","3","0","0","0.71945782","false","0","60","12672108","0.33333333"
"162","40.82659176","0.00458345","0.02449384","0.0","3","89","false","61","3.0","3","0","0","0.68391594","false","0","61","2799988","0.33333333"
"163","41.12640449","8.5823E-4","0.02431528","0.0","3","89","false","62","2.33333333","3","0","0","0.68153647","false","0","62","498638","0.33333333"
"165","41.16385768","0.08398264","0.02429316","0.0","4","96","false","63","3.25","4","0","0","0.68123922","false","0","63","46642214","0.28125"
"166","42.11835206","0.03829744","0.02374262","0.0","3","97","false","64","3.0","3","0","0","0.67366387","false","0","64","27094524","0.33333333"
"168","41.54644195","0.03449501","0.02406945","0.16666667","4","95","false","65","3.5","4","0","0","0.67820284","false","0","65","41439048","0.3"
"169","42.45786517","7.5956E-4","0.02355276","0.0","3","96","false","66","3.66666667","3","0","0","0.67096932","false","0","66","2047664","0.38095238"
"171","47.0664794","0.00192726","0.02124654","0.0","3","82","false","67","2.33333333","3","0","0","0.63439302","false","0","67","1349216","0.33333333"
"172","48.05280899","0.00118563","0.02081044","0.0","3","83","false","68","2.5","3","0","1","0.62656501","false","0","68","920046","0.5"
"174","39.38220974","7.0E-4","0.02539218","0.33333333","3","91","false","69","3.0","3","0","0","0.69537929","false","0","69","602328","0.44444444"
"175","39.58951311","4.484E-5","0.02525921","0.33333333","3","91","false","70","3.0","3","0","0","0.69373402","false","0","70","10554","0.44444444"
"177","31.25093633","0.00963541","0.03199904","0.33333333","3","70","false","71","3.33333333","3","0","0","0.7599132","false","0","71","30137454","0.42857143"
"178","31.15468165","0.01013912","0.0320979","0.0","3","69","false","72","3.0","3","0","0","0.76067713","false","0","72","30255988","0.33333333"
"180","47.7741573","7.4892E-4","0.02093182","0.0","3","96","false","73","2.5","3","0","1","0.62877653","false","0","73","134292","0.5"
"181","46.77509363","0.01887875","0.0213789","0.0","3","95","false","74","3.0","3","0","0","0.63670561","false","0","74","10199406","0.33333333"
"183","34.8093633","0.04853637","0.0287279","0.0","4","82","false","75","3.75","4","0","0","0.73167172","false","0","75","35800118","0.30555556"
"184","34.6511236","0.04846131","0.02885909","0.0","4","82","false","76","3.0","4","0","0","0.73292759","false","0","76","32384256","0.25"
"186","50.74569288","0.00224544","0.01970611","0.0","3","104","false","77","2.33333333","3","0","0","0.60519291","false","0","77","589834","0.33333333"
"187","51.74400749","0.0014975","0.01932591","0.0","3","105","false","78","2.33333333","3","0","0","0.59726978","false","0","78","393238","0.33333333"
"189","52.74307116","7.4899E-4","0.01895984","0.0","3","106","false","79","1.66666667","3","0","0","0.58934071","false","0","79","196626","0.33333333"
"190","53.7428839","0.0","0.01860711","0.0","1","107","false","80","3.0","1","0","0","0.58140568","false","0","80","0","0.0"
"192","42.87022472","8.144E-5","0.02332621","0.33333333","3","89","false","81","3.0","3","0","0","0.66769663","false","0","81","13768","0.44444444"
"193","42.4335206","6.2927E-4","0.02356627","0.33333333","3","88","false","82","3.0","3","0","0","0.67116253","false","0","82","577286","0.44444444"
"195","61.78258427","0.01064674","0.01618579","0.0","3","117","false","83","2.66666667","3","0","0","0.51759854","false","0","83","8264554","0.33333333"
"196","61.9923221","0.00965233","0.01613103","0.0","2","118","false","84","3.0","2","0","0","0.51593395","false","0","84","5380572","0.5"
"198","43.60805243","0.03536862","0.02293154","0.0","3","93","false","85","1.66666667","3","0","0","0.66184085","false","0","85","66363918","0.33333333"
"199","44.60786517","0.0","0.02241757","0.0","1","94","false","86","3.0","1","0","0","0.65390583","false","0","86","0","0.0"
"201","46.08707865","0.00982893","0.02169806","0.0","4","80","false","87","2.5","4","0","0","0.64216604","false","0","87","1866096","0.3"
"202","47.08576779","7.3162E-4","0.02123784","0.0","3","81","false","88","2.66666667","3","0","0","0.63423994","false","0","88","171222","0.41666667"
"204","51.69981273","9.9787E-4","0.01934243","0.0","3","102","false","89","2.33333333","3","0","0","0.59762053","false","0","89","322070","0.44444444"
"205","52.69700375","0.00149745","0.01897641","0.0","3","103","false","90","3.33333333","3","0","0","0.58970632","false","0","90","644132","0.38888889"
"207","61.62509363","3.7721E-4","0.01622716","0.0","3","114","false","91","2.0","3","0","0","0.51884846","false","0","91","2086444","0.33333333"
"208","62.62490637","0.0","0.01596809","0.0","1","115","false","92","3.0","1","0","0","0.51091344","false","0","92","0","0.0"
"210","46.35730337","0.00144258","0.02157157","0.0","3","82","false","93","3.0","3","0","0","0.6400214","false","0","93","219944","0.33333333"
"211","45.9258427","0.00173318","0.02177423","0.0","3","83","false","94","3.0","3","0","0","0.64344569","false","0","94","251478","0.33333333"
"213","39.16685393","0.01437564","0.02553179","0.0","3","87","false","95","3.0","3","0","0","0.69708846","false","0","95","11541726","0.33333333"
"214","40.1659176","7.4892E-4","0.02489673","0.0","3","88","false","96","2.5","3","0","1","0.68915938","false","0","96","522944","0.5"
